caldt,vwretd
2013-12-02,-0.002526
2013-12-03,-0.003192
2013-12-04,-0.001071
2013-12-05,-0.004448
2013-12-06,0.011338
2013-12-09,0.001871
2013-12-10,-0.003295
2013-12-11,-0.011122
2013-12-12,-0.003588
2013-12-13,-0.000063
2013-12-16,0.006329
2013-12-17,-0.003089
2013-12-18,0.016609
2013-12-19,-0.000494
2013-12-20,0.005032
2013-12-23,0.005333
2013-12-24,0.003015
2013-12-26,0.004784
2013-12-27,-0.000212
2013-12-30,-0.000111
2013-12-31,0.003983
2014-01-02,-0.008595
2014-01-03,-0.000275
2014-01-06,-0.002495
2014-01-07,0.006090
2014-01-08,0.000057
2014-01-09,0.000369
2014-01-10,0.002358
2014-01-13,-0.012525
2014-01-14,0.010866
2014-01-15,0.005061
2014-01-16,-0.001358
2014-01-17,-0.003801
2014-01-21,0.002789
2014-01-22,0.000648
2014-01-23,-0.008917
2014-01-24,-0.020885
2014-01-27,-0.004946
2014-01-28,0.006288
2014-01-29,-0.010172
2014-01-30,0.011494
2014-01-31,-0.006640
2014-02-03,-0.022957
2014-02-04,0.007695
2014-02-05,-0.001722
2014-02-06,0.012905
2014-02-07,0.013283
2014-02-10,0.001672
2014-02-11,0.011133
2014-02-12,0.000190
2014-02-13,0.006053
2014-02-14,0.004822
2014-02-18,0.001301
2014-02-19,-0.006349
2014-02-20,0.006132
2014-02-21,-0.001748
2014-02-24,0.006270
2014-02-25,-0.001301
2014-02-26,0.000376
2014-02-27,0.004977
2014-02-28,0.002726
2014-03-03,-0.007366
2014-03-04,0.015324
2014-03-05,0.000157
2014-03-06,0.001736
2014-03-07,0.000550
2014-03-10,-0.000494
2014-03-11,-0.005036
2014-03-12,0.000613
2014-03-13,-0.011595
2014-03-14,-0.002778
2014-03-17,0.009605
2014-03-18,0.007293
2014-03-19,-0.006192
2014-03-20,0.006026
2014-03-21,-0.002971
2014-03-24,-0.004746
2014-03-25,0.004417
2014-03-26,-0.007022
2014-03-27,-0.001715
2014-03-28,0.004673
2014-03-31,0.007985
2014-04-01,0.007171
2014-04-02,0.003009
2014-04-03,-0.001183
2014-04-04,-0.012602
2014-04-07,-0.010670
2014-04-08,0.004302
2014-04-09,0.011019
2014-04-10,-0.021010
2014-04-11,-0.009449
2014-04-14,0.008280
2014-04-15,0.006704
2014-04-16,0.010552
2014-04-17,0.001344
2014-04-21,0.003740
2014-04-22,0.004066
2014-04-23,-0.002150
2014-04-24,0.001664
2014-04-25,-0.008293
2014-04-28,0.003237
2014-04-29,0.004857
2014-04-30,0.003123
2014-05-01,-0.000047
2014-05-02,-0.001378
2014-05-05,0.001898
2014-05-06,-0.008985
2014-05-07,0.005960
2014-05-08,-0.001097
2014-05-09,0.001806
2014-05-12,0.009899
2014-05-13,0.000701
2014-05-14,-0.004558
2014-05-15,-0.009363
2014-05-16,0.003727
2014-05-19,0.003886
2014-05-20,-0.006523
2014-05-21,0.008260
2014-05-22,0.002440
2014-05-23,0.004329
2014-05-27,0.005997
2014-05-28,-0.001014
2014-05-29,0.005499
2014-05-30,0.001890
2014-06-02,0.000832
2014-06-03,-0.000387
2014-06-04,0.002108
2014-06-05,0.006645
2014-06-06,0.004822
2014-06-09,0.000962
2014-06-10,-0.000262
2014-06-11,-0.003447
2014-06-12,-0.006838
2014-06-13,0.003143
2014-06-16,0.000825
2014-06-17,0.002241
2014-06-18,0.007848
2014-06-19,0.001311
2014-06-20,0.001691
2014-06-23,-0.000019
2014-06-24,-0.006352
2014-06-25,0.004824
2014-06-26,-0.001148
2014-06-27,0.002066
2014-06-30,-0.000311
2014-07-01,0.006864
2014-07-02,0.000656
2014-07-03,0.005392
2014-07-07,-0.003839
2014-07-08,-0.006723
2014-07-09,0.004662
2014-07-10,-0.004144
2014-07-11,0.001618
2014-07-14,0.004856
2014-07-15,-0.001933
2014-07-16,0.004352
2014-07-17,-0.011614
2014-07-18,0.010240
2014-07-21,-0.002260
2014-07-22,0.004960
2014-07-23,0.001766
2014-07-24,0.000464
2014-07-25,-0.004938
2014-07-28,0.000228
2014-07-29,-0.004485
2014-07-30,0.000195
2014-07-31,-0.019929
2014-08-01,-0.002982
2014-08-04,0.007143
2014-08-05,-0.009499
2014-08-06,0.000378
2014-08-07,-0.005303
2014-08-08,0.011524
2014-08-11,0.002901
2014-08-12,-0.001668
2014-08-13,0.006939
2014-08-14,0.004360
2014-08-15,0.000085
2014-08-18,0.008628
2014-08-19,0.005292
2014-08-20,0.002524
2014-08-21,0.002979
2014-08-22,-0.001758
2014-08-25,0.004783
2014-08-26,0.001090
2014-08-27,0.000132
2014-08-28,-0.001583
2014-08-29,0.003363
2014-09-02,-0.000439
2014-09-03,-0.000566
2014-09-04,-0.001383
2014-09-05,0.005057
2014-09-08,-0.002982
2014-09-09,-0.006551
2014-09-10,0.003676
2014-09-11,0.001135
2014-09-12,-0.005910
2014-09-15,-0.000819
2014-09-16,0.007541
2014-09-17,0.001261
2014-09-18,0.005027
2014-09-19,-0.000442
2014-09-22,-0.008037
2014-09-23,-0.005735
2014-09-24,0.007993
2014-09-25,-0.016122
2014-09-26,0.008738
2014-09-29,-0.002507
2014-09-30,-0.002649
2014-10-01,-0.013082
2014-10-02,0.000146
2014-10-03,0.011167
2014-10-06,-0.001490
2014-10-07,-0.015091
2014-10-08,0.017686
2014-10-09,-0.020569
2014-10-10,-0.011289
2014-10-13,-0.016466
2014-10-14,0.001633
2014-10-15,-0.008094
2014-10-16,0.000073
2014-10-17,0.012737
2014-10-20,0.009183
2014-10-21,0.019484
2014-10-22,-0.007091
2014-10-23,0.012181
2014-10-24,0.006866
2014-10-27,-0.001469
2014-10-28,0.011817
2014-10-29,-0.001290
2014-10-30,0.006384
2014-10-31,0.011692
2014-11-03,-0.000161
2014-11-04,-0.002762
2014-11-05,0.005923
2014-11-06,0.004119
2014-11-07,0.000677
2014-11-10,0.003279
2014-11-11,0.000677
2014-11-12,-0.000444
2014-11-13,0.000912
2014-11-14,0.000423
2014-11-17,0.000814
2014-11-18,0.005303
2014-11-19,-0.001267
2014-11-20,0.001877
2014-11-21,0.005325
2014-11-24,0.002893
2014-11-25,-0.001140
2014-11-26,0.003037
2014-11-28,-0.002131
2014-12-01,-0.006999
2014-12-02,0.006352
2014-12-03,0.003846
2014-12-04,-0.001108
2014-12-05,0.001607
2014-12-08,-0.007021
2014-12-09,-0.000191
2014-12-10,-0.016261
2014-12-11,0.004852
2014-12-12,-0.016058
2014-12-15,-0.006143
2014-12-16,-0.008611
2014-12-17,0.020318
2014-12-18,0.024296
2014-12-19,0.004482
2014-12-22,0.004086
2014-12-23,0.001904
2014-12-24,-0.000148
