,PERMNO,date,TICKER,COMNAM,stock_return,SHROUT,RETX,market_return
0,13788,2013-12-02,ZTS,ZOETIS INC,0.0,500007,0.0,-0.002526
1,15720,2013-12-02,EIX,EDISON INTERNATIONAL,-0.002164,325811,-0.002164,-0.002526
2,57665,2013-12-02,NKE,NIKE INC,-0.000632,711597,-0.000632,-0.002526
3,13788,2013-12-03,ZTS,ZOETIS INC,-0.001926,500007,-0.001926,-0.003192
4,15720,2013-12-03,EIX,EDISON INTERNATIONAL,-0.001952,325811,-0.001952,-0.003192
5,57665,2013-12-03,NKE,NIKE INC,0.000506,711597,0.000506,-0.003192
6,13788,2013-12-04,ZTS,ZOETIS INC,0.00386,500007,0.00386,-0.001071
7,15720,2013-12-04,EIX,EDISON INTERNATIONAL,0.000217,325811,0.000217,-0.001071
8,57665,2013-12-04,NKE,NIKE INC,-0.003918,711597,-0.003918,-0.001071
9,13788,2013-12-05,ZTS,ZOETIS INC,0.007369,500007,0.007369,-0.004448
10,15720,2013-12-05,EIX,EDISON INTERNATIONAL,-0.013687,325811,-0.013687,-0.004448
11,57665,2013-12-05,NKE,NIKE INC,0.001649,711597,0.001649,-0.004448
12,13788,2013-12-06,ZTS,ZOETIS INC,0.003181,500007,0.003181,0.011338
13,15720,2013-12-06,EIX,EDISON INTERNATIONAL,0.010793,325811,0.010793,0.011338
14,57665,2013-12-06,NKE,NIKE INC,0.011526,711597,0.011526,0.011338
15,13788,2013-12-09,ZTS,ZOETIS INC,0.006658,500007,0.006658,0.001871
16,15720,2013-12-09,EIX,EDISON INTERNATIONAL,0.007191,325811,0.007191,0.001871
17,57665,2013-12-09,NKE,NIKE INC,-0.001002,711597,-0.001002,0.001871
18,13788,2013-12-10,ZTS,ZOETIS INC,-0.012283,500007,-0.012283,-0.003295
19,15720,2013-12-10,EIX,EDISON INTERNATIONAL,-0.015794,325811,-0.015794,-0.003295
20,57665,2013-12-10,NKE,NIKE INC,-0.007019,711597,-0.007019,-0.003295
21,13788,2013-12-11,ZTS,ZOETIS INC,-0.00861,500007,-0.00861,-0.011122
22,15720,2013-12-11,EIX,EDISON INTERNATIONAL,-0.005716,325811,-0.005716,-0.011122
23,57665,2013-12-11,NKE,NIKE INC,-0.030043,711597,-0.030043,-0.011122
24,13788,2013-12-12,ZTS,ZOETIS INC,0.002573,500007,0.002573,-0.003588
25,15720,2013-12-12,EIX,EDISON INTERNATIONAL,0.004864,325811,0.004864,-0.003588
26,57665,2013-12-12,NKE,NIKE INC,-0.004815,711597,-0.007938,-0.003588
27,13788,2013-12-13,ZTS,ZOETIS INC,0.013154,500007,0.013154,-6.3e-05
28,15720,2013-12-13,EIX,EDISON INTERNATIONAL,0.00506,325811,0.00506,-6.3e-05
29,57665,2013-12-13,NKE,NIKE INC,0.00223,711597,0.00223,-6.3e-05
30,13788,2013-12-16,ZTS,ZOETIS INC,0.0133,500007,0.0133,0.006329
31,15720,2013-12-16,EIX,EDISON INTERNATIONAL,0.00613,325811,0.00613,0.006329
32,57665,2013-12-16,NKE,NIKE INC,0.000524,711597,0.000524,0.006329
33,13788,2013-12-17,ZTS,ZOETIS INC,-0.01125,500007,-0.01125,-0.003089
34,15720,2013-12-17,EIX,EDISON INTERNATIONAL,-0.00718,325811,-0.00718,-0.003089
35,57665,2013-12-17,NKE,NIKE INC,0.004186,711597,0.004186,-0.003089
36,13788,2013-12-18,ZTS,ZOETIS INC,0.016751,500007,0.016751,0.016609
37,15720,2013-12-18,EIX,EDISON INTERNATIONAL,0.009862,325811,0.009862,0.016609
38,57665,2013-12-18,NKE,NIKE INC,0.023319,711597,0.023319,0.016609
39,13788,2013-12-19,ZTS,ZOETIS INC,0.004352,500007,0.004352,-0.000494
40,15720,2013-12-19,EIX,EDISON INTERNATIONAL,0.000868,325811,0.000868,-0.000494
41,57665,2013-12-19,NKE,NIKE INC,-0.003692,711597,-0.003692,-0.000494
42,13788,2013-12-20,ZTS,ZOETIS INC,0.002167,500007,0.002167,0.005032
43,15720,2013-12-20,EIX,EDISON INTERNATIONAL,0.009974,325811,0.009974,0.005032
44,57665,2013-12-20,NKE,NIKE INC,-0.011756,711597,-0.011756,0.005032
45,13788,2013-12-23,ZTS,ZOETIS INC,-0.000309,500007,-0.000309,0.005333
46,15720,2013-12-23,EIX,EDISON INTERNATIONAL,-0.009446,325811,-0.009446,0.005333
47,57665,2013-12-23,NKE,NIKE INC,-0.002974,711597,-0.002974,0.005333
48,13788,2013-12-24,ZTS,ZOETIS INC,0.0,500007,0.0,0.003015
49,15720,2013-12-24,EIX,EDISON INTERNATIONAL,0.008453,325811,0.008453,0.003015
50,57665,2013-12-24,NKE,NIKE INC,0.007133,711597,0.007133,0.003015
51,13788,2013-12-26,ZTS,ZOETIS INC,0.006796,500007,0.006796,0.004784
52,15720,2013-12-26,EIX,EDISON INTERNATIONAL,-0.007952,325811,-0.007952,0.004784
53,57665,2013-12-26,NKE,NIKE INC,0.006825,711597,0.006825,0.004784
54,13788,2013-12-27,ZTS,ZOETIS INC,0.002455,500007,0.002455,-0.000212
55,15720,2013-12-27,EIX,EDISON INTERNATIONAL,0.003575,325811,-0.004116,-0.000212
56,57665,2013-12-27,NKE,NIKE INC,-0.000384,711597,-0.000384,-0.000212
57,13788,2013-12-30,ZTS,ZOETIS INC,0.0,500007,0.0,-0.000111
58,15720,2013-12-30,EIX,EDISON INTERNATIONAL,0.006961,325811,0.006961,-0.000111
59,57665,2013-12-30,NKE,NIKE INC,0.007421,711597,0.007421,-0.000111
60,13788,2013-12-31,ZTS,ZOETIS INC,0.000612,500007,0.000612,0.003983
61,15720,2013-12-31,EIX,EDISON INTERNATIONAL,0.000216,325811,0.000216,0.003983
62,57665,2013-12-31,NKE,NIKE INC,-0.00127,711597,-0.00127,0.003983
63,13788,2014-01-02,ZTS,ZOETIS INC,-0.010095,500007,-0.010095,-0.008595
64,15720,2014-01-02,EIX,EDISON INTERNATIONAL,-0.01879,325811,-0.01879,-0.008595
65,57665,2014-01-02,NKE,NIKE INC,-0.005086,711597,-0.005086,-0.008595
66,13788,2014-01-03,ZTS,ZOETIS INC,-0.00958,500007,-0.00958,-0.000275
67,15720,2014-01-03,EIX,EDISON INTERNATIONAL,0.00022,325811,0.00022,-0.000275
68,57665,2014-01-03,NKE,NIKE INC,-0.002684,711597,-0.002684,-0.000275
69,13788,2014-01-06,ZTS,ZOETIS INC,-0.002184,500007,-0.002184,-0.002495
70,15720,2014-01-06,EIX,EDISON INTERNATIONAL,-0.00066,325811,-0.00066,-0.002495
71,57665,2014-01-06,NKE,NIKE INC,-0.007689,711597,-0.007689,-0.002495
72,13788,2014-01-07,ZTS,ZOETIS INC,0.003752,500007,0.003752,0.00609
73,15720,2014-01-07,EIX,EDISON INTERNATIONAL,0.001542,325811,0.001542,0.00609
74,57665,2014-01-07,NKE,NIKE INC,0.000775,711597,0.000775,0.00609
75,13788,2014-01-08,ZTS,ZOETIS INC,-0.011215,500007,-0.011215,5.7e-05
76,15720,2014-01-08,EIX,EDISON INTERNATIONAL,-0.009015,325811,-0.009015,5.7e-05
77,57665,2014-01-08,NKE,NIKE INC,-0.005162,711597,-0.005162,5.7e-05
78,13788,2014-01-09,ZTS,ZOETIS INC,0.006931,500007,0.006931,0.000369
79,15720,2014-01-09,EIX,EDISON INTERNATIONAL,0.001553,325811,0.001553,0.000369
80,57665,2014-01-09,NKE,NIKE INC,0.0,711597,0.0,0.000369
81,13788,2014-01-10,ZTS,ZOETIS INC,0.018148,500007,0.018148,0.002358
82,15720,2014-01-10,EIX,EDISON INTERNATIONAL,0.008197,325811,0.008197,0.002358
83,57665,2014-01-10,NKE,NIKE INC,-0.002205,711597,-0.002205,0.002358
84,13788,2014-01-13,ZTS,ZOETIS INC,-0.023356,500007,-0.023356,-0.012525
85,15720,2014-01-13,EIX,EDISON INTERNATIONAL,-0.000659,325811,-0.000659,-0.012525
86,57665,2014-01-13,NKE,NIKE INC,-0.022621,711597,-0.022621,-0.012525
87,13788,2014-01-14,ZTS,ZOETIS INC,0.002203,500007,0.002203,0.010866
88,15720,2014-01-14,EIX,EDISON INTERNATIONAL,0.01737,325811,0.01737,0.010866
89,57665,2014-01-14,NKE,NIKE INC,-0.000133,711597,-0.000133,0.010866
90,13788,2014-01-15,ZTS,ZOETIS INC,-0.001256,500007,-0.001256,0.005061
91,15720,2014-01-15,EIX,EDISON INTERNATIONAL,0.002161,325811,0.002161,0.005061
92,57665,2014-01-15,NKE,NIKE INC,0.003459,711597,0.003459,0.005061
93,13788,2014-01-16,ZTS,ZOETIS INC,0.005973,500007,0.005973,-0.001358
94,15720,2014-01-16,EIX,EDISON INTERNATIONAL,0.012077,325811,0.012077,-0.001358
95,57665,2014-01-16,NKE,NIKE INC,-0.008485,711597,-0.008485,-0.001358
96,13788,2014-01-17,ZTS,ZOETIS INC,-0.008438,500007,-0.008438,-0.003801
97,15720,2014-01-17,EIX,EDISON INTERNATIONAL,-0.000639,325811,-0.000639,-0.003801
98,57665,2014-01-17,NKE,NIKE INC,-0.018719,711597,-0.018719,-0.003801
99,13788,2014-01-21,ZTS,ZOETIS INC,-0.014497,500007,-0.014497,0.002789
100,15720,2014-01-21,EIX,EDISON INTERNATIONAL,0.017058,325811,0.017058,0.002789
101,57665,2014-01-21,NKE,NIKE INC,0.004905,711597,0.004905,0.002789
102,13788,2014-01-22,ZTS,ZOETIS INC,0.006076,500007,0.006076,0.000648
103,15720,2014-01-22,EIX,EDISON INTERNATIONAL,0.002096,325811,0.002096,0.000648
104,57665,2014-01-22,NKE,NIKE INC,-0.00339,711597,-0.00339,0.000648
105,13788,2014-01-23,ZTS,ZOETIS INC,0.0089,500007,0.0089,-0.008917
106,15720,2014-01-23,EIX,EDISON INTERNATIONAL,-0.003138,325811,-0.003138,-0.008917
107,57665,2014-01-23,NKE,NIKE INC,-0.010476,711597,-0.010476,-0.008917
108,13788,2014-01-24,ZTS,ZOETIS INC,-0.008822,500007,-0.008822,-0.020885
109,15720,2014-01-24,EIX,EDISON INTERNATIONAL,-0.01532,325811,-0.01532,-0.020885
110,57665,2014-01-24,NKE,NIKE INC,-0.014849,711597,-0.014849,-0.020885
111,13788,2014-01-27,ZTS,ZOETIS INC,-0.003179,500007,-0.003179,-0.004946
112,15720,2014-01-27,EIX,EDISON INTERNATIONAL,0.005754,325811,0.005754,-0.004946
113,57665,2014-01-27,NKE,NIKE INC,0.003489,711597,0.003489,-0.004946
114,13788,2014-01-28,ZTS,ZOETIS INC,0.004847,500007,0.002551,0.006288
115,15720,2014-01-28,EIX,EDISON INTERNATIONAL,0.00445,325811,0.00445,0.006288
116,57665,2014-01-28,NKE,NIKE INC,0.011266,711597,0.011266,0.006288
117,13788,2014-01-29,ZTS,ZOETIS INC,-0.020992,500007,-0.020992,-0.010172
118,15720,2014-01-29,EIX,EDISON INTERNATIONAL,-0.005907,325811,-0.005907,-0.010172
119,57665,2014-01-29,NKE,NIKE INC,-0.012928,711597,-0.012928,-0.010172
120,13788,2014-01-30,ZTS,ZOETIS INC,-0.003574,500007,-0.003574,0.011494
121,15720,2014-01-30,EIX,EDISON INTERNATIONAL,0.017615,325811,0.017615,0.011494
122,57665,2014-01-30,NKE,NIKE INC,0.030236,711597,0.030236,0.011494
123,13788,2014-01-31,ZTS,ZOETIS INC,-0.010108,500007,-0.010108,-0.00664
124,15720,2014-01-31,EIX,EDISON INTERNATIONAL,0.00438,325811,0.00438,-0.00664
125,57665,2014-01-31,NKE,NIKE INC,-0.014742,707527,-0.014742,-0.00664
126,13788,2014-02-03,ZTS,ZOETIS INC,0.000329,500007,0.000329,-0.022957
127,15720,2014-02-03,EIX,EDISON INTERNATIONAL,0.000623,325811,0.000623,-0.022957
128,57665,2014-02-03,NKE,NIKE INC,-0.027042,707527,-0.027042,-0.022957
129,13788,2014-02-04,ZTS,ZOETIS INC,-0.00461,500007,-0.00461,0.007695
130,15720,2014-02-04,EIX,EDISON INTERNATIONAL,-0.00581,325811,-0.00581,0.007695
131,57665,2014-02-04,NKE,NIKE INC,-0.00522,707527,-0.00522,0.007695
132,13788,2014-02-05,ZTS,ZOETIS INC,-0.003308,500007,-0.003308,-0.001722
133,15720,2014-02-05,EIX,EDISON INTERNATIONAL,0.001044,325811,0.001044,-0.001722
134,57665,2014-02-05,NKE,NIKE INC,0.001276,707527,0.001276,-0.001722
135,13788,2014-02-06,ZTS,ZOETIS INC,-0.002655,500007,-0.002655,0.012905
136,15720,2014-02-06,EIX,EDISON INTERNATIONAL,0.014804,325811,0.014804,0.012905
137,57665,2014-02-06,NKE,NIKE INC,0.01289,707527,0.01289,0.012905
138,13788,2014-02-07,ZTS,ZOETIS INC,0.021631,500007,0.021631,0.013283
139,15720,2014-02-07,EIX,EDISON INTERNATIONAL,0.000822,325811,0.000822,0.013283
140,57665,2014-02-07,NKE,NIKE INC,0.016501,707527,0.016501,0.013283
141,13788,2014-02-10,ZTS,ZOETIS INC,0.014332,500007,0.014332,0.001672
142,15720,2014-02-10,EIX,EDISON INTERNATIONAL,0.001848,325811,0.001848,0.001672
143,57665,2014-02-10,NKE,NIKE INC,-0.000275,707527,-0.000275,0.001672
144,13788,2014-02-11,ZTS,ZOETIS INC,-0.064547,500007,-0.064547,0.011133
145,15720,2014-02-11,EIX,EDISON INTERNATIONAL,0.013115,325811,0.013115,0.011133
146,57665,2014-02-11,NKE,NIKE INC,0.018027,707527,0.018027,0.011133
147,13788,2014-02-12,ZTS,ZOETIS INC,0.029866,500007,0.029866,0.00019
148,15720,2014-02-12,EIX,EDISON INTERNATIONAL,0.003843,325811,0.003843,0.00019
149,57665,2014-02-12,NKE,NIKE INC,0.001757,707527,0.001757,0.00019
150,13788,2014-02-13,ZTS,ZOETIS INC,-0.011,500007,-0.011,0.006053
151,15720,2014-02-13,EIX,EDISON INTERNATIONAL,0.011283,325811,0.011283,0.006053
152,57665,2014-02-13,NKE,NIKE INC,0.010255,707527,0.010255,0.006053
153,13788,2014-02-14,ZTS,ZOETIS INC,0.007078,500007,0.007078,0.004822
154,15720,2014-02-14,EIX,EDISON INTERNATIONAL,0.006974,325811,0.006974,0.004822
155,57665,2014-02-14,NKE,NIKE INC,0.002671,707527,0.002671,0.004822
156,13788,2014-02-18,ZTS,ZOETIS INC,0.013052,500007,0.013052,0.001301
157,15720,2014-02-18,EIX,EDISON INTERNATIONAL,0.008706,325811,0.008706,0.001301
158,57665,2014-02-18,NKE,NIKE INC,0.001865,707527,0.001865,0.001301
159,13788,2014-02-19,ZTS,ZOETIS INC,-0.017179,500007,-0.017179,-0.006349
160,15720,2014-02-19,EIX,EDISON INTERNATIONAL,-0.005492,325811,-0.005492,-0.006349
161,57665,2014-02-19,NKE,NIKE INC,-0.005185,707527,-0.005185,-0.006349
162,13788,2014-02-20,ZTS,ZOETIS INC,0.007395,500007,0.007395,0.006132
163,15720,2014-02-20,EIX,EDISON INTERNATIONAL,0.010256,325811,0.010256,0.006132
164,57665,2014-02-20,NKE,NIKE INC,0.010158,707527,0.010158,0.006132
165,13788,2014-02-21,ZTS,ZOETIS INC,-0.012012,500007,-0.012012,-0.001748
166,15720,2014-02-21,EIX,EDISON INTERNATIONAL,0.002733,325811,0.002733,-0.001748
167,57665,2014-02-21,NKE,NIKE INC,0.011908,707527,0.011908,-0.001748
168,13788,2014-02-24,ZTS,ZOETIS INC,0.00304,500007,0.00304,0.00627
169,15720,2014-02-24,EIX,EDISON INTERNATIONAL,0.002726,325811,0.002726,0.00627
170,57665,2014-02-24,NKE,NIKE INC,0.017782,707527,0.017782,0.00627
171,13788,2014-02-25,ZTS,ZOETIS INC,0.014478,500007,0.014478,-0.001301
172,15720,2014-02-25,EIX,EDISON INTERNATIONAL,-0.005049,325811,-0.005049,-0.001301
173,57665,2014-02-25,NKE,NIKE INC,0.003469,707527,0.003469,-0.001301
174,13788,2014-02-26,ZTS,ZOETIS INC,0.008961,500007,0.008961,0.000376
175,15720,2014-02-26,EIX,EDISON INTERNATIONAL,0.014832,325811,0.014832,0.000376
176,57665,2014-02-26,NKE,NIKE INC,0.003969,707527,0.003969,0.000376
177,13788,2014-02-27,ZTS,ZOETIS INC,0.010526,500007,0.010526,0.004977
178,15720,2014-02-27,EIX,EDISON INTERNATIONAL,0.001346,325811,0.001346,0.004977
179,57665,2014-02-27,NKE,NIKE INC,-0.00204,707527,-0.005101,0.004977
180,13788,2014-02-28,ZTS,ZOETIS INC,0.009766,500007,0.009766,0.002726
181,15720,2014-02-28,EIX,EDISON INTERNATIONAL,0.005761,325811,0.005761,0.002726
182,57665,2014-02-28,NKE,NIKE INC,0.003589,707527,0.003589,0.002726
183,13788,2014-03-03,ZTS,ZOETIS INC,-0.000967,500007,-0.000967,-0.007366
184,15720,2014-03-03,EIX,EDISON INTERNATIONAL,-0.008975,325811,-0.008975,-0.007366
185,57665,2014-03-03,NKE,NIKE INC,-0.011622,707527,-0.011622,-0.007366
186,13788,2014-03-04,ZTS,ZOETIS INC,-0.003227,500007,-0.003227,0.015324
187,15720,2014-03-04,EIX,EDISON INTERNATIONAL,0.005973,325811,0.005973,0.015324
188,57665,2014-03-04,NKE,NIKE INC,0.015894,707527,0.015894,0.015324
189,13788,2014-03-05,ZTS,ZOETIS INC,-0.005503,500007,-0.005503,0.000157
190,15720,2014-03-05,EIX,EDISON INTERNATIONAL,-0.012641,325811,-0.012641,0.000157
191,57665,2014-03-05,NKE,NIKE INC,-0.015263,707527,-0.015263,0.000157
192,13788,2014-03-06,ZTS,ZOETIS INC,0.001953,500007,0.001953,0.001736
193,15720,2014-03-06,EIX,EDISON INTERNATIONAL,-0.007372,325811,-0.007372,0.001736
194,57665,2014-03-06,NKE,NIKE INC,0.010333,707527,0.010333,0.001736
195,13788,2014-03-07,ZTS,ZOETIS INC,-0.006498,500007,-0.006498,0.00055
196,15720,2014-03-07,EIX,EDISON INTERNATIONAL,0.004886,325811,0.004886,0.00055
197,57665,2014-03-07,NKE,NIKE INC,0.015853,707527,0.015853,0.00055
198,13788,2014-03-10,ZTS,ZOETIS INC,-0.007521,500007,-0.007521,-0.000494
199,15720,2014-03-10,EIX,EDISON INTERNATIONAL,-0.004667,325811,-0.004667,-0.000494
200,57665,2014-03-10,NKE,NIKE INC,-0.006041,707527,-0.006041,-0.000494
201,13788,2014-03-11,ZTS,ZOETIS INC,-0.002306,500007,-0.002306,-0.005036
202,15720,2014-03-11,EIX,EDISON INTERNATIONAL,-0.008206,325811,-0.008206,-0.005036
203,57665,2014-03-11,NKE,NIKE INC,-0.002279,707527,-0.002279,-0.005036
204,13788,2014-03-12,ZTS,ZOETIS INC,-0.019155,500007,-0.019155,0.000613
205,15720,2014-03-12,EIX,EDISON INTERNATIONAL,0.018519,325811,0.018519,0.000613
206,57665,2014-03-12,NKE,NIKE INC,0.002157,707527,0.002157,0.000613
207,13788,2014-03-13,ZTS,ZOETIS INC,-0.015152,500007,-0.015152,-0.011595
208,15720,2014-03-13,EIX,EDISON INTERNATIONAL,0.001354,325811,0.001354,-0.011595
209,57665,2014-03-13,NKE,NIKE INC,-0.005572,707527,-0.005572,-0.011595
210,13788,2014-03-14,ZTS,ZOETIS INC,0.005812,500007,0.005812,-0.002778
211,15720,2014-03-14,EIX,EDISON INTERNATIONAL,0.005602,325811,0.005602,-0.002778
212,57665,2014-03-14,NKE,NIKE INC,-0.002674,707527,-0.002674,-0.002778
213,13788,2014-03-17,ZTS,ZOETIS INC,-0.00136,500007,-0.00136,0.009605
214,15720,2014-03-17,EIX,EDISON INTERNATIONAL,0.006531,325811,0.006531,0.009605
