PERMNO,date,TICKER,COMNAM,RET,SHROUT,RETX
13788,2013-12-02,ZTS,ZOETIS INC,0.000000,500007,0.000000
13788,2013-12-03,ZTS,ZOETIS INC,-0.001926,500007,-0.001926
13788,2013-12-04,ZTS,ZOETIS INC,0.003860,500007,0.003860
13788,2013-12-05,ZTS,ZOETIS INC,0.007369,500007,0.007369
13788,2013-12-06,ZTS,ZOETIS INC,0.003181,500007,0.003181
13788,2013-12-09,ZTS,ZOETIS INC,0.006658,500007,0.006658
13788,2013-12-10,ZTS,ZOETIS INC,-0.012283,500007,-0.012283
13788,2013-12-11,ZTS,ZOETIS INC,-0.008610,500007,-0.008610
13788,2013-12-12,ZTS,ZOETIS INC,0.002573,500007,0.002573
13788,2013-12-13,ZTS,ZOETIS INC,0.013154,500007,0.013154
13788,2013-12-16,ZTS,ZOETIS INC,0.013300,500007,0.013300
13788,2013-12-17,ZTS,ZOETIS INC,-0.011250,500007,-0.011250
13788,2013-12-18,ZTS,ZOETIS INC,0.016751,500007,0.016751
13788,2013-12-19,ZTS,ZOETIS INC,0.004352,500007,0.004352
13788,2013-12-20,ZTS,ZOETIS INC,0.002167,500007,0.002167
13788,2013-12-23,ZTS,ZOETIS INC,-0.000309,500007,-0.000309
13788,2013-12-24,ZTS,ZOETIS INC,0.000000,500007,0.000000
13788,2013-12-26,ZTS,ZOETIS INC,0.006796,500007,0.006796
13788,2013-12-27,ZTS,ZOETIS INC,0.002455,500007,0.002455
13788,2013-12-30,ZTS,ZOETIS INC,0.000000,500007,0.000000
13788,2013-12-31,ZTS,ZOETIS INC,0.000612,500007,0.000612
13788,2014-01-02,ZTS,ZOETIS INC,-0.010095,500007,-0.010095
13788,2014-01-03,ZTS,ZOETIS INC,-0.009580,500007,-0.009580
13788,2014-01-06,ZTS,ZOETIS INC,-0.002184,500007,-0.002184
13788,2014-01-07,ZTS,ZOETIS INC,0.003752,500007,0.003752
13788,2014-01-08,ZTS,ZOETIS INC,-0.011215,500007,-0.011215
13788,2014-01-09,ZTS,ZOETIS INC,0.006931,500007,0.006931
13788,2014-01-10,ZTS,ZOETIS INC,0.018148,500007,0.018148
13788,2014-01-13,ZTS,ZOETIS INC,-0.023356,500007,-0.023356
13788,2014-01-14,ZTS,ZOETIS INC,0.002203,500007,0.002203
13788,2014-01-15,ZTS,ZOETIS INC,-0.001256,500007,-0.001256
13788,2014-01-16,ZTS,ZOETIS INC,0.005973,500007,0.005973
13788,2014-01-17,ZTS,ZOETIS INC,-0.008438,500007,-0.008438
13788,2014-01-21,ZTS,ZOETIS INC,-0.014497,500007,-0.014497
13788,2014-01-22,ZTS,ZOETIS INC,0.006076,500007,0.006076
13788,2014-01-23,ZTS,ZOETIS INC,0.008900,500007,0.008900
13788,2014-01-24,ZTS,ZOETIS INC,-0.008822,500007,-0.008822
13788,2014-01-27,ZTS,ZOETIS INC,-0.003179,500007,-0.003179
13788,2014-01-28,ZTS,ZOETIS INC,0.004847,500007,0.002551
13788,2014-01-29,ZTS,ZOETIS INC,-0.020992,500007,-0.020992
13788,2014-01-30,ZTS,ZOETIS INC,-0.003574,500007,-0.003574
13788,2014-01-31,ZTS,ZOETIS INC,-0.010108,500007,-0.010108
13788,2014-02-03,ZTS,ZOETIS INC,0.000329,500007,0.000329
13788,2014-02-04,ZTS,ZOETIS INC,-0.004610,500007,-0.004610
13788,2014-02-05,ZTS,ZOETIS INC,-0.003308,500007,-0.003308
13788,2014-02-06,ZTS,ZOETIS INC,-0.002655,500007,-0.002655
13788,2014-02-07,ZTS,ZOETIS INC,0.021631,500007,0.021631
13788,2014-02-10,ZTS,ZOETIS INC,0.014332,500007,0.014332
13788,2014-02-11,ZTS,ZOETIS INC,-0.064547,500007,-0.064547
13788,2014-02-12,ZTS,ZOETIS INC,0.029866,500007,0.029866
13788,2014-02-13,ZTS,ZOETIS INC,-0.011000,500007,-0.011000
13788,2014-02-14,ZTS,ZOETIS INC,0.007078,500007,0.007078
13788,2014-02-18,ZTS,ZOETIS INC,0.013052,500007,0.013052
13788,2014-02-19,ZTS,ZOETIS INC,-0.017179,500007,-0.017179
13788,2014-02-20,ZTS,ZOETIS INC,0.007395,500007,0.007395
13788,2014-02-21,ZTS,ZOETIS INC,-0.012012,500007,-0.012012
13788,2014-02-24,ZTS,ZOETIS INC,0.003040,500007,0.003040
13788,2014-02-25,ZTS,ZOETIS INC,0.014478,500007,0.014478
13788,2014-02-26,ZTS,ZOETIS INC,0.008961,500007,0.008961
13788,2014-02-27,ZTS,ZOETIS INC,0.010526,500007,0.010526
13788,2014-02-28,ZTS,ZOETIS INC,0.009766,500007,0.009766
13788,2014-03-03,ZTS,ZOETIS INC,-0.000967,500007,-0.000967
13788,2014-03-04,ZTS,ZOETIS INC,-0.003227,500007,-0.003227
13788,2014-03-05,ZTS,ZOETIS INC,-0.005503,500007,-0.005503
13788,2014-03-06,ZTS,ZOETIS INC,0.001953,500007,0.001953
13788,2014-03-07,ZTS,ZOETIS INC,-0.006498,500007,-0.006498
13788,2014-03-10,ZTS,ZOETIS INC,-0.007521,500007,-0.007521
13788,2014-03-11,ZTS,ZOETIS INC,-0.002306,500007,-0.002306
13788,2014-03-12,ZTS,ZOETIS INC,-0.019155,500007,-0.019155
13788,2014-03-13,ZTS,ZOETIS INC,-0.015152,500007,-0.015152
13788,2014-03-14,ZTS,ZOETIS INC,0.005812,500007,0.005812
13788,2014-03-17,ZTS,ZOETIS INC,-0.001360,500007,-0.001360
13788,2014-03-18,ZTS,ZOETIS INC,-0.003404,500007,-0.003404
13788,2014-03-19,ZTS,ZOETIS INC,0.021516,500007,0.021516
13788,2014-03-20,ZTS,ZOETIS INC,0.006018,500007,0.006018
13788,2014-03-21,ZTS,ZOETIS INC,-0.027584,500007,-0.027584
13788,2014-03-24,ZTS,ZOETIS INC,-0.004101,500007,-0.004101
13788,2014-03-25,ZTS,ZOETIS INC,0.004118,500007,0.004118
13788,2014-03-26,ZTS,ZOETIS INC,-0.001709,500007,-0.001709
13788,2014-03-27,ZTS,ZOETIS INC,0.003081,500007,0.003081
13788,2014-03-28,ZTS,ZOETIS INC,-0.009898,500007,-0.009898
13788,2014-03-31,ZTS,ZOETIS INC,-0.002413,500729,-0.002413
13788,2014-04-01,ZTS,ZOETIS INC,0.014167,500729,0.014167
13788,2014-04-02,ZTS,ZOETIS INC,0.009199,500729,0.009199
13788,2014-04-03,ZTS,ZOETIS INC,0.000000,500729,0.000000
13788,2014-04-04,ZTS,ZOETIS INC,-0.010128,500729,-0.010128
13788,2014-04-07,ZTS,ZOETIS INC,-0.010914,500729,-0.010914
13788,2014-04-08,ZTS,ZOETIS INC,0.005172,500729,0.005172
13788,2014-04-09,ZTS,ZOETIS INC,-0.003087,500729,-0.003087
13788,2014-04-10,ZTS,ZOETIS INC,-0.006882,500729,-0.006882
13788,2014-04-11,ZTS,ZOETIS INC,-0.015939,500729,-0.015939
13788,2014-04-14,ZTS,ZOETIS INC,0.002817,500729,0.002817
13788,2014-04-15,ZTS,ZOETIS INC,0.002458,500729,0.002458
13788,2014-04-16,ZTS,ZOETIS INC,-0.000700,500729,-0.000700
13788,2014-04-17,ZTS,ZOETIS INC,0.002454,500729,0.002454
13788,2014-04-21,ZTS,ZOETIS INC,0.015035,500729,0.015035
13788,2014-04-22,ZTS,ZOETIS INC,0.029624,500729,0.029624
13788,2014-04-23,ZTS,ZOETIS INC,-0.016728,500729,-0.016728
13788,2014-04-24,ZTS,ZOETIS INC,0.019462,500729,0.017013
13788,2014-04-25,ZTS,ZOETIS INC,0.009033,500729,0.009033
13788,2014-04-28,ZTS,ZOETIS INC,0.007958,500729,0.007958
13788,2014-04-29,ZTS,ZOETIS INC,0.004276,500729,0.004276
13788,2014-04-30,ZTS,ZOETIS INC,-0.008844,500729,-0.008844
13788,2014-05-01,ZTS,ZOETIS INC,0.001652,500729,0.001652
13788,2014-05-02,ZTS,ZOETIS INC,0.010887,500729,0.010887
13788,2014-05-05,ZTS,ZOETIS INC,-0.003590,500729,-0.003590
13788,2014-05-06,ZTS,ZOETIS INC,0.011792,500729,0.011792
13788,2014-05-07,ZTS,ZOETIS INC,-0.007769,500729,-0.007769
13788,2014-05-08,ZTS,ZOETIS INC,-0.005546,500729,-0.005546
13788,2014-05-09,ZTS,ZOETIS INC,0.001969,500729,0.001969
13788,2014-05-12,ZTS,ZOETIS INC,0.008841,500729,0.008841
13788,2014-05-13,ZTS,ZOETIS INC,-0.002597,500729,-0.002597
13788,2014-05-14,ZTS,ZOETIS INC,-0.002929,500729,-0.002929
13788,2014-05-15,ZTS,ZOETIS INC,-0.005875,500729,-0.005875
13788,2014-05-16,ZTS,ZOETIS INC,0.004596,500729,0.004596
13788,2014-05-19,ZTS,ZOETIS INC,-0.004575,500729,-0.004575
13788,2014-05-20,ZTS,ZOETIS INC,-0.005909,500729,-0.005909
13788,2014-05-21,ZTS,ZOETIS INC,0.004623,500729,0.004623
13788,2014-05-22,ZTS,ZOETIS INC,-0.002959,500729,-0.002959
13788,2014-05-23,ZTS,ZOETIS INC,0.006594,500729,0.006594
13788,2014-05-27,ZTS,ZOETIS INC,0.005568,500729,0.005568
13788,2014-05-28,ZTS,ZOETIS INC,-0.007166,500729,-0.007166
13788,2014-05-29,ZTS,ZOETIS INC,0.007874,500729,0.007874
13788,2014-05-30,ZTS,ZOETIS INC,-0.000651,501019,-0.000651
13788,2014-06-02,ZTS,ZOETIS INC,0.007166,501019,0.007166
13788,2014-06-03,ZTS,ZOETIS INC,0.010673,501019,0.010673
13788,2014-06-04,ZTS,ZOETIS INC,0.003840,501019,0.003840
13788,2014-06-05,ZTS,ZOETIS INC,0.007651,501019,0.007651
13788,2014-06-06,ZTS,ZOETIS INC,0.004113,501019,0.004113
13788,2014-06-09,ZTS,ZOETIS INC,0.008507,501019,0.008507
13788,2014-06-10,ZTS,ZOETIS INC,0.015308,501019,0.015308
13788,2014-06-11,ZTS,ZOETIS INC,-0.011385,501019,-0.011385
13788,2014-06-12,ZTS,ZOETIS INC,-0.004357,501019,-0.004357
13788,2014-06-13,ZTS,ZOETIS INC,0.004064,501019,0.004064
